Day_of_the_year,nb_day,nb_day_pyth,Day_of_the_year_bis,nb_day_bis,nb_day_pyth
16-07,197,196,15-07,197,196
17-07,198,197,16-07,198,197
18-07,199,198,17-07,199,198
19-07,200,199,18-07,200,199
20-07,201,200,19-07,201,200
21-07,202,201,20-07,202,201
22-07,203,202,21-07,203,202
23-07,204,203,22-07,204,203
24-07,205,204,23-07,205,204
25-07,206,205,24-07,206,205
26-07,207,206,25-07,207,206
27-07,208,207,26-07,208,207
28-07,209,208,27-07,209,208
29-07,210,209,28-07,210,209
30-07,211,210,29-07,211,210
31-07,212,211,30-07,212,211
01-08,213,212,31-07,213,212
02-08,214,213,01-08,214,213
03-08,215,214,02-08,215,214
04-08,216,215,03-08,216,215
05-08,217,216,04-08,217,216
06-08,218,217,05-08,218,217
07-08,219,218,06-08,219,218
08-08,220,219,07-08,220,219
09-08,221,220,08-08,221,220
10-08,222,221,09-08,222,221
11-08,223,222,10-08,223,222
12-08,224,223,11-08,224,223
13-08,225,224,12-08,225,224
14-08,226,225,13-08,226,225
15-08,227,226,14-08,227,226
16-08,228,227,15-08,228,227
17-08,229,228,16-08,229,228
18-08,230,229,17-08,230,229
19-08,231,230,18-08,231,230
20-08,232,231,19-08,232,231
21-08,233,232,20-08,233,232
22-08,234,233,21-08,234,233
23-08,235,234,22-08,235,234
24-08,236,235,23-08,236,235
25-08,237,236,24-08,237,236
26-08,238,237,25-08,238,237
27-08,239,238,26-08,239,238
28-08,240,239,27-08,240,239
29-08,241,240,28-08,241,240
30-08,242,241,29-08,242,241
31-08,243,242,30-08,243,242
01-09,244,243,31-08,244,243
02-09,245,244,01-09,245,244
03-09,246,245,02-09,246,245
04-09,247,246,03-09,247,246
05-09,248,247,04-09,248,247
06-09,249,248,05-09,249,248
07-09,250,249,06-09,250,249
08-09,251,250,07-09,251,250
09-09,252,251,08-09,252,251
10-09,253,252,09-09,253,252
11-09,254,253,10-09,254,253
12-09,255,254,11-09,255,254
13-09,256,255,12-09,256,255
14-09,257,256,13-09,257,256
15-09,258,257,14-09,258,257
16-09,259,258,15-09,259,258
17-09,260,259,16-09,260,259
18-09,261,260,17-09,261,260
19-09,262,261,18-09,262,261
20-09,263,262,19-09,263,262
21-09,264,263,20-09,264,263
22-09,265,264,21-09,265,264
23-09,266,265,22-09,266,265
24-09,267,266,23-09,267,266
25-09,268,267,24-09,268,267
26-09,269,268,25-09,269,268
27-09,270,269,26-09,270,269
28-09,271,270,27-09,271,270
29-09,272,271,28-09,272,271
30-09,273,272,29-09,273,272
01-10,274,273,30-09,274,273
02-10,275,274,01-10,275,274
03-10,276,275,02-10,276,275
04-10,277,276,03-10,277,276
05-10,278,277,04-10,278,277
06-10,279,278,05-10,279,278
07-10,280,279,06-10,280,279
08-10,281,280,07-10,281,280
09-10,282,281,08-10,282,281
10-10,283,282,09-10,283,282
11-10,284,283,10-10,284,283
12-10,285,284,11-10,285,284
13-10,286,285,12-10,286,285
14-10,287,286,13-10,287,286
15-10,288,287,14-10,288,287
16-10,289,288,15-10,289,288
17-10,290,289,16-10,290,289
18-10,291,290,17-10,291,290
19-10,292,291,18-10,292,291
20-10,293,292,19-10,293,292
21-10,294,293,20-10,294,293
22-10,295,294,21-10,295,294
23-10,296,295,22-10,296,295
