Day_of_the_year;nb_day;nb_day_pyth;Day_of_the_year_bis;nb_day_bis;nb_day_pyth_1
24-juin;175;174;23-juin;175;174
25-juin;176;175;24-juin;176;175
26-juin;177;176;25-juin;177;176
27-juin;178;177;26-juin;178;177
28-juin;179;178;27-juin;179;178
29-juin;180;179;28-juin;180;179
30-juin;181;180;29-juin;181;180
01-juil;182;181;30-juin;182;181
02-juil;183;182;01-juil;183;182
03-juil;184;183;02-juil;184;183
04-juil;185;184;03-juil;185;184
05-juil;186;185;04-juil;186;185
06-juil;187;186;05-juil;187;186
07-juil;188;187;06-juil;188;187
08-juil;189;188;07-juil;189;188
09-juil;190;189;08-juil;190;189
10-juil;191;190;09-juil;191;190
11-juil;192;191;10-juil;192;191
12-juil;193;192;11-juil;193;192
13-juil;194;193;12-juil;194;193
14-juil;195;194;13-juil;195;194
15-juil;196;195;14-juil;196;195
16-juil;197;196;15-juil;197;196
17-juil;198;197;16-juil;198;197
18-juil;199;198;17-juil;199;198
19-juil;200;199;18-juil;200;199
20-juil;201;200;19-juil;201;200
21-juil;202;201;20-juil;202;201
22-juil;203;202;21-juil;203;202
23-juil;204;203;22-juil;204;203
24-juil;205;204;23-juil;205;204
25-juil;206;205;24-juil;206;205
26-juil;207;206;25-juil;207;206
27-juil;208;207;26-juil;208;207
28-juil;209;208;27-juil;209;208
29-juil;210;209;28-juil;210;209
30-juil;211;210;29-juil;211;210
31-juil;212;211;30-juil;212;211
01-août;213;212;31-juil;213;212
02-août;214;213;01-août;214;213
03-août;215;214;02-août;215;214
04-août;216;215;03-août;216;215
05-août;217;216;04-août;217;216
06-août;218;217;05-août;218;217
07-août;219;218;06-août;219;218
08-août;220;219;07-août;220;219
09-août;221;220;08-août;221;220
10-août;222;221;09-août;222;221
11-août;223;222;10-août;223;222
12-août;224;223;11-août;224;223
13-août;225;224;12-août;225;224
14-août;226;225;13-août;226;225
15-août;227;226;14-août;227;226
16-août;228;227;15-août;228;227
17-août;229;228;16-août;229;228
18-août;230;229;17-août;230;229
19-août;231;230;18-août;231;230
20-août;232;231;19-août;232;231
21-août;233;232;20-août;233;232
22-août;234;233;21-août;234;233
23-août;235;234;22-août;235;234
24-août;236;235;23-août;236;235
25-août;237;236;24-août;237;236
26-août;238;237;25-août;238;237
27-août;239;238;26-août;239;238
28-août;240;239;27-août;240;239
29-août;241;240;28-août;241;240
30-août;242;241;29-août;242;241
31-août;243;242;30-août;243;242
01-sept;244;243;31-août;244;243
02-sept;245;244;01-sept;245;244
03-sept;246;245;02-sept;246;245
04-sept;247;246;03-sept;247;246
05-sept;248;247;04-sept;248;247
06-sept;249;248;05-sept;249;248
07-sept;250;249;06-sept;250;249
08-sept;251;250;07-sept;251;250
09-sept;252;251;08-sept;252;251
10-sept;253;252;09-sept;253;252
11-sept;254;253;10-sept;254;253
12-sept;255;254;11-sept;255;254
13-sept;256;255;12-sept;256;255
14-sept;257;256;13-sept;257;256
15-sept;258;257;14-sept;258;257
16-sept;259;258;15-sept;259;258
17-sept;260;259;16-sept;260;259
18-sept;261;260;17-sept;261;260
19-sept;262;261;18-sept;262;261
20-sept;263;262;19-sept;263;262
21-sept;264;263;20-sept;264;263
22-sept;265;264;21-sept;265;264
23-sept;266;265;22-sept;266;265
24-sept;267;266;23-sept;267;266
25-sept;268;267;24-sept;268;267
26-sept;269;268;25-sept;269;268
27-sept;270;269;26-sept;270;269
28-sept;271;270;27-sept;271;270
29-sept;272;271;28-sept;272;271
30-sept;273;272;29-sept;273;272
01-oct;274;273;30-sept;274;273
02-oct;275;274;01-oct;275;274
03-oct;276;275;02-oct;276;275
04-oct;277;276;03-oct;277;276
05-oct;278;277;04-oct;278;277
06-oct;279;278;05-oct;279;278
07-oct;280;279;06-oct;280;279
08-oct;281;280;07-oct;281;280
09-oct;282;281;08-oct;282;281
10-oct;283;282;09-oct;283;282
11-oct;284;283;10-oct;284;283
12-oct;285;284;11-oct;285;284
13-oct;286;285;12-oct;286;285
14-oct;287;286;13-oct;287;286
15-oct;288;287;14-oct;288;287
16-oct;289;288;15-oct;289;288
17-oct;290;289;16-oct;290;289
18-oct;291;290;17-oct;291;290
19-oct;292;291;18-oct;292;291
20-oct;293;292;19-oct;293;292
21-oct;294;293;20-oct;294;293
22-oct;295;294;21-oct;295;294
23-oct;296;295;22-oct;296;295
24-oct;297;296;23-oct;297;296
25-oct;298;297;24-oct;298;297
26-oct;299;298;25-oct;299;298
27-oct;300;299;26-oct;300;299
28-oct;301;300;27-oct;301;300
29-oct;302;301;28-oct;302;301
30-oct;303;302;29-oct;303;302
31-oct;304;303;30-oct;304;303
01-nov;305;304;31-oct;305;304
02-nov;306;305;01-nov;306;305
03-nov;307;306;02-nov;307;306
04-nov;308;307;03-nov;308;307
05-nov;309;308;04-nov;309;308
06-nov;310;309;05-nov;310;309
07-nov;311;310;06-nov;311;310
08-nov;312;311;07-nov;312;311
09-nov;313;312;08-nov;313;312
10-nov;314;313;09-nov;314;313
11-nov;315;314;10-nov;315;314
