,Global_mean,Spatial_extent,Duration,Max,Max_spatial,Temp_sum,Pseudo_Russo,Pop_unique,Global_mean_pop,Duration_pop,Max_pop,Max_spatial_pop,Spatial_extent_pop,Temp_sum_pop,Pseudo_Russo_pop,Temp_sum_pop_NL,Pseudo_Russo_pop_NL,Multi_index_temp,Multi_index_Russo,Multi_index_temp_NL,Multi_index_Russo_NL,extreme_bool,TotalDeaths,Impact_fct
0,4.635506951191557,315833.44773662864,5.0,10.707384066506322,3381750.0259649344,80467.76516573424,25227.02825273146,81389883.73599404,92448.75565176993,99718.06387649356,871472744.2895846,275240241437480.84,25705647591222.355,6549262051334.381,2053224896494.4504,181271671010748.47,60477265691867.625,14566533.281155128,4782555.816525024,6700458316.141741,2195158393.8332553,0.0,0.0,0.0
1,5.659562560095889,950252.8423258197,8.0,12.044835411528116,11445639.085151276,382620.3864378427,117163.45610640281,94739230.29068393,49490.732944937896,69956.97270864606,1141118435.8661468,1084351037112199.6,90026222863482.8,36249160904645.26,11099975649716.934,110922723409731.14,36970752945086.54,28924753.7820229,9910895.771520106,6295696577.964029,2227050907.8115697,0.0,0.0,0.0
2,2.8152729944203547,61141.675067957214,5.0,9.841750283037843,601741.0979054758,16686.123037929443,5239.5606244840765,935500.9528823115,1968.3786015725564,3495.892947990701,9206966.767811662,562929370479.0209,57198095286.894646,15609884001.894485,4901613956.889493,37613202215.34403,11681794414.989105,101650.56406264784,32536.960654479473,53624687.522117004,16490892.349540388,0.0,0.0,0.0
3,4.746409443231921,1080790.3938715213,6.0,9.86672680830117,10663863.55336652,310087.6753357847,93012.7242156417,65223076.79705074,22084.13665474122,27916.85410060668,643538280.3533465,695529991494494.9,70492474860996.95,20224872262244.82,6066576054619.699,80438215595199.66,25717312603243.785,13797944.939308647,4523711.264942005,4668523502.04772,1519020949.297406,0.0,0.0,0.0
4,4.588307854568908,66332.02848254777,4.0,7.650247984603899,507456.46721329953,12590.316752937084,4796.190625599338,1255042.0123573015,8394.342745062648,7318.029226573187,9601382.625629667,636879185795.1064,83249482510.47859,15801376473.822004,6019420734.401419,20518528709.68376,7916700626.866025,198548.83300345243,79563.57575082524,32884014.66149876,12984345.058897682,0.0,0.0,0.0
5,5.481903151096217,115006.66353304632,7.0,11.839463182718141,1361617.158666755,43696.250017387945,14382.091505517945,11692034.661802296,48373.2842681209,61769.23972272911,138427413.90947264,15920075015236.457,1344661896366.6116,510898069794.07904,168155912391.72818,1786243908923.0522,620825403132.3278,3434660.087438347,1191352.961540428,956281096.5952406,330096905.26443577,0.0,0.0,0.0
6,2.412067930039431,25322.32572198636,4.0,7.39236737333243,187191.93448410853,5403.032163288326,1796.5850901108545,634734.438610836,2733.968899044249,4533.817418648829,4692190.154717221,118817167447.24702,16072952201.465746,3429490586.961107,1140354428.5881114,23998893581.020283,7688398381.299367,54505.63601539459,17480.67853517902,41447826.63686854,13151734.82723955,0.0,0.0,0.0
7,5.476826394426185,671009.9139886787,8.0,13.737558378387646,9218037.865896348,253549.67792996022,71518.98510046335,88742835.87926237,60829.6753266302,88853.9032583353,1219109888.5550406,818034821462065.6,59547322670455.27,22500717455778.293,6346797557021.83,94273176453754.83,29556929420624.1,25453273.475113552,8055599.851590296,5455598581.376683,1771648467.7728708,0.0,0.0,0.0
8,5.287734841163894,99945.53961933377,4.0,9.049342520736126,904441.4214351542,23900.5614820608,7450.554018762789,10554991.931322938,48405.89642971386,36617.49152236926,95515737.29014738,9546371905602.3,1054924364253.7849,252270233597.23953,78640537551.92693,1236041533780.854,389088883487.9486,1894994.4320985766,604937.5435797628,544910593.8690825,179771157.2995104,0.0,0.0,0.0
9,4.870103349573158,371812.963674243,11.0,9.425901868456188,3504672.5090132803,112626.01006222886,37006.83233151682,27344844.833194673,31707.671527547533,71617.4507536051,257749824.00585422,95834725950131.2,10167167798642.422,3079740769333.47,1011946087873.3794,8350733463420.553,3125974203438.7075,7473023.319448151,3011898.0295222714,1740700756.3930657,668689265.4225782,0.0,0.0,0.0
10,5.598716581006435,1030940.1244584494,5.0,11.907028573562062,12275433.519558387,291379.60574189894,89544.96764551729,91998609.48286861,42511.89669373328,37965.75168490782,1095430071.8404942,1129322814598767.5,94845057910272.86,26806518559921.18,8238012509576.05,63939551744863.89,20206271527580.21,19752789.30049667,6326979.852939938,3524730966.605349,1114709166.8276963,0.0,0.0,0.0
11,3.6097807426496797,42511.52665185648,4.0,11.739979616866655,499084.4563746787,12453.743562141395,3429.2853983094187,130667.62136368896,499.1338235835813,553.0904607986835,1534035.2113941584,65214178774.06905,5554880068.137155,1627301048.3383708,448096565.9743224,1627301048.3383708,448096565.9743224,15599.007121131492,4728.128474096746,15599.007121131492,4728.128474096746,0.0,0.0,0.0
12,3.8553203121700284,132037.70576789606,5.0,14.626009062754576,1931184.6811865699,38726.692535747934,10284.61729479907,1939501.1901841478,2743.999388621978,3558.7177801544,28367161.98485663,3745534987626.746,256087287486.0187,75110466264.97867,19947027483.85127,69041449943.64664,19108340739.18168,87182.72609457569,59609.30420625452,7845715.204769611,5608736.250288829,0.0,0.0,0.0
13,3.8480013219074114,368084.51099371974,11.0,10.730724106226077,3949813.335248746,117275.53628777218,37832.92134066413,12411543.95268796,7954.636498476884,22739.337688135838,133184853.88859318,49023281815352.836,4568497086502.207,1455570473210.736,469564966078.23914,1669822150535.5232,646011724096.6077,2139427.435251285,1117060.374104116,236962130.24722806,140401174.3009112,0.0,0.0,0.0
