,Global_mean,Spatial_extent,Duration,Max,Max_spatial,Temp_sum,Pseudo_Russo,Pop_unique,Global_mean_pop,Duration_pop,Max_pop,Max_spatial_pop,Spatial_extent_pop,Temp_sum_pop,Pseudo_Russo_pop,Temp_sum_pop_NL,Pseudo_Russo_pop_NL,Multi_index_temp,Multi_index_Russo,Multi_index_temp_NL,Multi_index_Russo_NL,extreme_bool,TotalDeaths,Impact_fct
0,3.4505577014925963,56353.70592609038,4.0,9.540321718346725,537632.4845560045,10610.464932089733,3887.512106874852,7084904.68014458,30984.629161487734,35918.40142025136,67592269.99239969,3809074906028.595,399260634859.2491,75174132655.8725,27542652720.116356,403124163861.3315,162722742471.14474,795340.1209705982,315703.31050358445,183691636.696434,78806290.64105956,0.0,0.0,0.0
1,4.523297860332342,337383.03571779805,7.0,9.695921983145112,3271239.5927564306,69907.56843143635,25301.01450137294,42136542.406761624,49084.76232560079,75960.80269053088,408552627.81544626,137838725822858.97,14216154591844.969,2945663221764.8076,1066097270471.1918,15096155678037.22,6562667583599.255,7824697.449469172,3560197.411375185,1994055387.4090269,895993264.9375033,0.0,0.0,0.0
2,4.177858928598839,70483.71704067287,4.0,7.893789226645234,556383.6062295747,10331.84513042493,4203.2353576095975,9348810.206257552,50138.65236455593,48004.16023752273,73797537.28810687,5201524736513.431,658938893244.8119,96590459204.78897,39295249610.52322,354178933430.1948,151753449278.8941,1271692.9171868968,550065.8275480252,241997505.22752744,104076218.95398979,0.0,0.0,0.0
3,4.00007208410798,305628.8762599924,5.0,8.99207894052713,2748238.98183445,62045.11809659888,21257.02497094736,20424255.682050582,21138.032339574213,26422.064271734256,183656519.3945086,56130735640365.164,6242242312551.885,1267225355827.9592,434158913046.36273,7342289634804.643,2585438053627.8203,3243480.159074943,1160803.9937702913,1259933079.264021,443304167.09792686,0.0,0.0,0.0
4,4.9405658107307335,257461.8482082408,5.0,11.293822685189141,2907728.461864953,61060.45285482114,19670.610477904942,40263302.040378295,64210.29486372433,64982.73408711797,454726593.96424663,117074749311473.2,10366264158282.428,2458495456015.9424,792003730990.5167,16152471577435.469,5558962158510.677,7645954.204327633,2724491.859788455,1962081903.4844985,699947210.0803782,0.0,0.0,0.0
5,4.482178345454983,140835.53346875496,4.0,8.818692296833593,1241985.234121359,19264.402528765517,7721.9612291614185,9879208.121463418,29227.968786974478,26083.71781244467,87121696.55956532,12269830611669.373,1391343546035.157,190317041917.3207,76286862088.75713,690874070945.4323,337491522092.9241,1003731.4970326646,494640.1705326363,405584976.6149277,193794949.5077378,0.0,0.0,0.0
6,3.8157527410627456,256784.86771520114,4.0,8.582454536537407,2203844.452836486,41210.12960347765,15865.176654790408,18334707.854019772,23304.700782998203,24429.990478374115,157356796.59782,40406844198459.03,4708075530891.326,755575686906.0544,290883379017.9968,1473842065686.8901,588838004168.04,2269032.5536943595,916495.0206817623,347927275.09936637,140656387.17524552,0.0,0.0,0.0
7,3.9769019562400665,186385.71306897298,5.0,10.65483247239494,1985908.5479977792,37879.99113318663,12793.293738890832,4839151.761042732,7447.690443124382,9363.683748147701,51560351.32240526,9610112847313.268,901948751630.9259,183307025800.44315,61908689926.09052,225900115502.2004,83727255095.50594,779376.0642616199,333208.10935223976,181152000.2233856,78946184.41141264,0.0,0.0,0.0
8,2.9651696208999776,98951.243447194,5.0,12.095244531796421,1196839.4862191298,24177.993088818417,7747.335900245178,696585.28674277,972.4545812690968,1639.7958727466337,8425369.380405331,833700776693.022,68927980290.21729,16842034248.639288,5396680199.564843,15203017675.778263,4986104862.502506,32268.507556996363,20376.40946860452,2090489.4981027266,1703601.9852152015,0.0,0.0,0.0
9,3.1514423367103106,47751.858495817265,4.0,10.366699969493439,495029.19001184386,7843.939976071963,3191.4326923183053,2495313.0113946167,10728.287950140646,13616.987783872397,25868161.319101155,1235252778856.692,119155833822.88739,19573085482.890747,7963623522.132019,21614411721.039783,9002985814.807518,236031.91686809759,112535.32696362631,14937054.090695817,7064303.993344474,0.0,0.0,0.0
10,3.2076009861909283,91510.50995473197,7.0,10.412320357474414,952836.7457245206,17802.185473359652,6680.567891531011,4373660.770209697,9872.595777473047,21545.126946845798,45539957.074341655,4167384695189.6084,400235927450.8952,77860720228.83006,29218537709.911694,132256946463.30957,61333451048.91934,444104.5779038077,254172.31196860253,76888677.16838348,41759908.428068854,0.0,0.0,0.0
11,2.6129146256453084,183961.35275006446,4.0,9.472387447564705,1742553.2086267334,35235.15372682698,12050.293338530297,1691804.1093201027,1176.6142403431809,1801.2287562630852,16025424.008862127,2948058679063.6377,311226572538.64404,59610977867.57142,20386735788.638214,112683510957.90909,36720668573.65277,152434.83260980854,50591.279988758884,85448177.03124452,27165196.187700327,0.0,0.0,0.0
12,3.8515341762191886,158759.14436453336,6.0,11.043353207219495,1753233.3060934923,38546.15403560164,10360.523719471636,5991090.667642701,9971.862774094081,15534.375110568802,66161730.33925481,10503779698337.082,951140428205.2963,230933503716.21106,62070836967.61736,746682171912.6891,196904923077.38818,1074898.8198960414,298254.0076978889,451524886.17551863,112588556.27243623,0.0,0.0,0.0
13,3.641836809971674,68226.32902276046,4.0,6.12938081537861,418185.15221581684,10317.323682649752,3712.940204882655,5420645.674948287,24103.915693333845,26474.459950907385,33225201.606993068,2266833536686.259,369830755334.82526,55926555997.39691,20126533262.93877,454233070351.59033,174271315306.05588,617965.080883994,236718.5922802809,277785291.4425999,106054330.3993936,0.0,0.0,0.0
